disease,text,risk_level
prostatitis,"Impotence has started to affect my relationship, and I’m really struggling.",Medium
astigmatism,I never thought eye deviation would impact my daily life this much.,Medium
flu,It’s so frustrating to deal with both chills and fever at the same time.,Medium
sciatica,The weakness in my legs has been terrifying; I don't feel stable anymore.,Medium
diabetic ketoacidosis,"The vomiting hit me out of nowhere, and I couldn’t stop.",Emergency
premature ovarian failure,It’s frustrating to face infertility when I’m ready to start a family.,Low
metastatic cancer,"The neck mass I have is really uncomfortable, and I’m worried it means something worse.",Low
malignant hypertension,I never knew my headaches could feel this sharp and debilitating.,Emergency
spermatocele,I’m anxious about the lump I found in my scrotum.,Low
poisoning due to analgesics,I didn’t realize that analgesics could lead to such severe mood changes.,Low
fracture of the arm,I didn't expect my shoulder to be so sore after an arm fracture.,Medium
kidney cancer,"The groin mass is uncomfortable, yet I’m only offered mild suggestions.",Low
post-traumatic stress disorder (ptsd),It's frustrating to feel so detached from everything around me.,Medium
dysthymic disorder,"I feel nervous all the time, like I’m on edge and can’t relax.",Medium
heart contusion,Why does my heart contusion make me feel so low?,Low
oppositional disorder,"I notice my low urine output, but nobody thinks it's connected to my mental state.",Emergency
metabolic disorder,"My arms feel stiff often, and it's frustrating to deal with daily.",Low
stress incontinence,"Every time I sneeze, I worry about leaking urine.",Low
amyotrophic lateral sclerosis (als),It’s tough to explain my condition when I struggle to speak clearly.,Low
adrenal cancer,"Sometimes, I struggle to hear clearly, and it's frustrating me a lot.",Low
heart block,"One minute I was fine, the next I was dizzy and fainting.",Emergency
poisoning due to antihypertensives,These blood pressure medications have left me feeling surprisingly weak and down.,Low
abdominal hernia,"My upper abdominal pain has been persistent, and I'm getting really worried.",Medium
poisoning due to antimicrobial drugs,"My breathing is rapid and shallow, and I've been on the antibiotic for just a few days.",Emergency
heart block,I can't believe how tight my chest feels; it's hard to breathe.,Emergency
autonomic nervous system disorder,Leg pain has made my daily routine feel impossible.,Low
flu,I can't believe how severe my headache is; it feels like my head is going to explode.,Medium
gum disease,I've had a fever and I can't shake the feeling it’s related to my gum pain.,Medium
conductive hearing loss,"Every time I bend down, I feel a dizzy spell coming on, which scares me.",Medium
hemiplegia,I'm scared when I experience these sudden weakness episodes; what’s happening to me?,Emergency
atrophy of the corpus cavernosum,The bumps on my penis make me anxious about intimacy.,Low
obesity,I didn’t realize how much my weight gain would impact my daily energy levels.,Low
iron deficiency anemia,Heavy periods and fatigue are making it hard for me to keep up with life.,Medium
huntington disease,I've noticed my anxiety spikes whenever I think about my family history.,Low
open wound of the neck,This open neck wound is making me feel more fatigued than usual lately.,Low
subarachnoid hemorrhage,"I noticed a loss of sensation in my leg, and it has me feeling very anxious today.",Emergency
vitreous degeneration,My eyes seem to weep more than usual; is that related?,Medium
peripheral arterial disease,I often feel like my circulation is completely blocked; everything is numb.,Medium
hypertrophic obstructive cardiomyopathy (hocm),I never know when the sharp chest pain will strike; it’s always lurking.,High
atrophic vaginitis,I can't believe how often I'm experiencing involuntary urination; it's humiliating.,Medium
substance-related mental disorder,I keep having these strange delusions that make me doubt my reality.,Low
pituitary disorder,I’m worried about my lack of growth; it feels like nothing is happening.,Low
common cold,Why do I feel like my head is in a fog with this cold?,Medium
hyperemesis gravidarum,"The sharp abdominal pain won’t let up, and I can’t even lie still.",Emergency
tricuspid valve disease,"My heart issues make me feel anxious, and it's affecting my daily activities.",Low
tracheitis,I'm experiencing a severe cough that just won't let up.,Emergency
ganglion cyst,Dealing with this hand lump is frustrating; why does it have to hurt every time I move?,Medium
tonsillar hypertrophy,It's hard to swallow anything because my tonsils are so swollen.,Medium
eczema,"I hate that my skin looks abnormal, especially when I go out.",Medium
whooping cough,"The coughing fits are so severe, I feel like I’m gasping for air.",Emergency
histoplasmosis,I wish my eyes would stop watering; it’s so distracting at work.,Low
poisoning due to anticonvulsants,I’ve had issues with movement since starting my anticonvulsant; it’s worrying.,Low
vertebrobasilar insufficiency,"My legs ache constantly, and I'm worried it’s something serious.",High
sciatica,"Some days, my leg cramps make it impossible to walk properly.",Medium
tic (movement) disorder,I wish people understood how frustrating my involuntary movements can be.,Low
depression,My hostility towards loved ones is overwhelming; I hate feeling this way.,Medium
fibroadenoma,Vaginal dryness seems to be added stress on top of my breast pain.,Low
ovarian cancer,"I keep losing weight because I'm not hungry, which worries me every day.",Low
scleroderma,I constantly feel ill and can’t shake off this fatigue.,Medium
narcolepsy,My social life is suffering; friends don’t understand how tired I always am.,Emergency
kidney disease due to longstanding hypertension,I can't believe how dizzy I feel; is this really from my kidneys?,High
infection of open wound,I can’t sleep because my open wound is so painful.,Low
gas gangrene,"Is this wrist pain something I should worry about, or is it minor?",Low
hypernatremia,"Every time I stood up, I felt faint; hypernatremia is no joke.",Emergency
retinopathy due to high blood pressure,"Lately, my vision has been blurry, and I'm not sure why.",Low
orbital cellulitis,I didn’t think eye pain could be this distracting; it’s frustrating.,Low
hypothyroidism,"I used to have thick hair, but now it’s so thin and lifeless.",Low
skin polyp,"There's a rough patch on my arm that feels irritated, and I'm not sure what it is.",Medium
complex regional pain syndrome,I can barely move my foot without sharp pains shooting through it.,Medium
osteomyelitis,"I thought the swelling would go down, but it hasn’t.",Low
hypertensive heart disease,I’m so exhausted from just trying to breathe; it shouldn't be this hard.,Emergency
anemia due to chronic kidney disease,"I’ve lost weight recently without trying, and I’m really worried.",Emergency
cataract,"Glaring lights hurt my eyes, especially when I try to drive at night.",Medium
tietze syndrome,The chest tightness has me worried; it feels like my heart is racing.,Emergency
cat scratch disease,The skin swelling from my cat scratch is really uncomfortable.,Low
pelvic organ prolapse,It’s disheartening to feel like my body is betraying me with these symptoms.,Medium
tooth disorder,The facial pain I’ve been experiencing is making it hard to smile.,Medium
herniated disk,"My leg weakness has kept me from jogging, which I loved.",Medium
teething syndrome,I’ve noticed my toddler has a fever and isn’t eating well lately.,Medium
pregnancy,The random contractions have me on edge and make it hard to focus on anything else.,Low
congenital heart defect,"Every time I see my fingers stiffening, I can't help but worry about the future of my heart.",High
normal pressure hydrocephalus,I find myself feeling confused and anxious more than usual.,Low
actinic keratosis,These irregular appearing spots on my skin have me worried about what’s going on.,Medium
central retinal artery or vein occlusion,"I’ve been experiencing diminished vision in my right eye lately, and it's quite concerning.",Low
primary immunodeficiency,The tightness in my arms makes even simple tasks feel exhausting.,Low
fibrocystic breast disease,"I experience painful swelling in my breasts every month, and it's hard to ignore.",Low
atelectasis,"The pain in my chest is sharp, and I can’t stop coughing.",Emergency
sepsis,I never realized how terrifying a high fever and severe weakness could be.,Emergency
bipolar disorder,"I can't seem to control my anger, and it's hurting my relationships.",Medium
hematoma,Why does my arm feel swollen? It’s definitely not normal.,Low
conjunctivitis due to allergy,"My eyes are constantly red, and the itchiness is unbearable.",Medium
benign vaginal discharge (leukorrhea),I can't shake the feeling that my frequent urination and discharge indicate a bigger issue.,Medium
necrotizing fasciitis,"I ignored my hip pain, but now it's harder to get up from the couch.",Low
hypothermia,I was so weak that it felt impossible to keep walking in the freezing wind.,High
congenital malformation syndrome,It’s so hard to watch my child in pain from gum issues that never seem to end.,High
hemarthrosis,"To be honest, I'm tired of the frequent urination—it’s getting old.",Low
blepharitis,Why can’t anyone understand how frustrating this white discharge issue is?,Medium
muscular dystrophy,My cough keeps me up at night; I really need some relief.,Low
ileus,I’m really worried; the vomiting has me feeling so weak and lightheaded.,Medium
atrial flutter,The palpitations are intense and make me feel panicky all the time.,Emergency
oppositional disorder,"I’ve been feeling really faint and dizzy, but no one takes my concerns seriously.",Emergency
premenstrual tension syndrome,I feel like my emotions are a rollercoaster in the days before my period.,Low
injury to the face,Why does my ear hurt so much after that fall to the face?,Medium
adrenal adenoma,The anxiety feels like a shadow over my life; I can’t escape it.,High
chondromalacia of the patella,Why does my knee feel weak when I try to climb stairs?,Low
chronic ulcer,The skin pain from my chronic ulcer makes it hard to focus at work.,Low
somatization disorder,I’m so tired of feeling dizzy and faint; it’s affecting every part of my life.,Emergency
narcolepsy,I'm constantly battling fatigue and just can't keep my eyes open at work.,Emergency
ear drum damage,"I’ve been coughing nonstop, and my ear pain just won’t go away.",Medium
hyponatremia,I couldn't breathe properly and felt like I was suffocating.,Emergency
impulse control disorder,I’m tired of feeling overwhelmed by impulses I wish I could just ignore.,Medium
osteomyelitis,My arm feels so heavy and swollen; it’s uncomfortable.,Low
pneumoconiosis,It feels hopeless when my fevers come back every few days.,High
injury to the hip,Sometimes my hip throbs a little after sitting for too long; it’s annoying.,Low
neurofibromatosis,It’s tough to explain my symptoms without feeling judged.,Low
essential tremor,Just holding a cup of coffee feels like a challenge now.,Low
pancreatic cancer,The jaundice makes me feel even more self-conscious about my health.,Low
hpv,I wish I knew that vaginal itching could be a sign of HPV sooner.,Low
ischemic heart disease,The chest tightness hit me out of nowhere while I was just sitting down.,Emergency
hyperemesis gravidarum,The combination of weakness and pain during pregnancy is making me hopeless.,Emergency
hiatal hernia,Why is vomiting blood a symptom? It’s completely freaking me out!,Emergency
omphalitis,I wish my flatulence would subside; it really affects my mood.,Low
meningioma,"My friends say I've seemed different lately, and I'm worried it's the meningioma.",Low
otitis media,It’s hard to sleep when the ear pressure is making me feel so uncomfortable.,Medium
whooping cough,I can barely eat or drink with this awful sore throat and cough.,Emergency
ear wax impaction,"Every time I bend down, my ears feel like they’re going to pop.",Medium
callus,The irritation from my callus is making me self-conscious about my feet.,Medium
hemarthrosis,"Sometimes, my elbow gives out unexpectedly, and it's really unsettling.",Low
aspergillosis,"Every time I try to breathe deeply, I feel a tightness in my chest.",High
breast cyst,The lump I found in my breast is making me second-guess my health lately.,Low
vaginal cyst,"Pain during pregnancy has been incredibly stressful, and I need answers.",Medium
anemia due to malignancy,"Shortness of breath makes me anxious, and I hate feeling this way.",High
granuloma inguinale,Why is this granuloma inguinale causing such relentless discomfort?,High
subdural hemorrhage,Why do I have these strange depressive thoughts out of nowhere?,Low
plantar fasciitis,The pain in my bones makes even simple tasks feel so exhausting.,Low
rotator cuff injury,"My arm feels stiff, and it's making daily tasks a struggle.",Low
magnesium deficiency,How can a simple magnesium deficiency cause so much chest pain and fear?,Emergency
injury to the hand,I’ve found my fingers get stiff and painful after doing any sort of gardening.,Low
intestinal obstruction,The sharp pain in my abdomen is unbearable; I can’t eat or drink anything.,Medium
high blood pressure,The sharp chest pain keeps creeping in whenever I check my blood pressure.,High
pyogenic skin infection,The rash on my arm looks abnormal and I’m really worried about it.,Medium
allergy to animals,"I try to avoid pets, but my throat always hurts after I visit.",Low
temporary or benign blood in urine,"With blood in my urine and retention of urine, I feel uneasy about what’s happening.",Medium
soft tissue sarcoma,I've noticed a persistent skin mole that doesn’t seem to heal.,Low
attention deficit hyperactivity disorder (adhd),"I struggle to sit still during meetings, which makes me look unprofessional.",Medium
esophageal varices,I’m experiencing nausea every time I think about my ongoing treatment for varices.,Low
hypokalemia,"I can't breathe properly, which makes every minute feel like an eternity.",Emergency
granuloma inguinale,It’s frustrating to see a persistent mass forming in my knee area.,High
open wound due to trauma,The skin on my arm looks red and feels warm to the touch.,Low
endometriosis,Why do I have to endure painful menstruation that stops me from going to work?,Medium
acariasis,"This skin rash is not only itchy, it looks awful too.",Low
parkinson disease,It’s hard to stay positive when everything feels so stiff and unyielding.,Medium
crushing injury,"After my crushing injury, my hand feels swollen and stiff all the time.",Low
varicocele of the testicles,My testicular pain has me seriously worried about my overall health and future.,Medium
ileus,I can’t believe how long this constipation has lasted; it’s exhausting.,Medium
chronic knee pain,Knee pain keeps me from enjoying my favorite activities with friends.,Medium
cervicitis,Vaginal itching has made intimacy nearly impossible for me.,Medium
high blood pressure,I just want relief from this headache caused by my high blood pressure.,High
vacterl syndrome,I wish my emotional symptoms were taken more seriously by doctors.,Low
scabies,"During my pregnancy, these skin issues have been really upsetting.",Low
rheumatoid arthritis,"I woke up with swollen elbows, and I can hardly lift my arms.",Medium
pinworm infection,I wish the symptoms would just stop; this is affecting my daily life.,Low
dry eye of unknown cause,"I feel like my eyes are always irritated, and it's affecting my mood.",Medium
acariasis,The swelling in my scrotum makes it hard to focus on anything else.,Low
osteoporosis,"I thought joint pain would go away with time, but it’s just getting worse.",Medium
peyronie disease,The pain in my penis makes intimacy really uncomfortable and awkward.,Low
pericarditis,The chest tightness is making it almost impossible to lie down.,Emergency
open wound due to trauma,I can't believe how swollen my wrist has become since the accident.,Low
spina bifida,"Sometimes my eye moves abnormally, and it’s quite disconcerting.",Low
wernicke korsakoff syndrome,I can't keep pretending everything's okay when it really isn't.,Low
endophthalmitis,I’m worried about this swelling in my eye that seems unusual.,Low
tietze syndrome,I feel like I can't catch my breath; I need immediate help.,Emergency
sepsis,The combination of chills and difficulty breathing sent me straight to the ER.,Emergency
peritonsillar abscess,I didn't expect ear pain to come with this sore throat.,Low
seborrheic keratosis,"These warts look so odd on my arms, and I can’t help but feel embarrassed by them.",Medium
oppositional disorder,I feel lost in my own mind; these symptoms are overwhelming my entire life.,Emergency
birth trauma,I never imagined I would feel so lost after what was supposed to be a joyful time.,Low
wernicke korsakoff syndrome,"My memory is terrible, and it’s affecting my daily life.",Low
otosclerosis,"My hearing seems to fade in and out, which is frustrating during conversations.",Low
cerebral palsy,The pain from her spasms makes me feel like I’m losing my child bit by bit.,Emergency
malaria,How can malaria make me feel so miserable with this constant headache?,High
cellulitis or abscess of mouth,I can't shake off this constant sore throat; it's getting old.,Low
presbyopia,It’s frustrating to see spots in my vision while watching TV.,Low
parkinson disease,"Some days, my legs feel so stiff that I can barely walk around the house.",Medium
intussusception,Why does this sharp abdominal pain keep bothering me? It’s disrupting my life.,Low
vocal cord polyp,I’m worried my voice might not return to normal with this hoarseness.,Low
flat feet,The discomfort from my flat feet has made it hard to enjoy my favorite activities.,Low
achalasia,This constant cough and difficulty swallowing is ruining my life.,Emergency
peritonsillar abscess,This peritonsillar abscess is making daily life so difficult.,Low
open wound due to trauma,"The pain in my arm is annoying, especially with the swelling.",Low
