disease,text,risk_level
medium_condition,Bloating and gas after meals after eating.,Medium
low_condition,I'm suffering from want to discuss exercise recommendations I'm not sure what to do.,Low
low_condition,"This morning, slight fatigue, nothing too concerning I need advice.",Low
emergency_condition,I can't breathe properly and my lips are turning blue. I'm terrified.,Emergency
low_condition,It started when want to know if I should be concerned about a mole Can you help?,Low
high_condition,"I've noticed that infected cut that's getting worse, now have fever and chills I need advice.",High
medium_condition,Heartburn that's more frequent than usual lately I hope it's nothing serious.,Medium
emergency_condition,life-threateningly abdominal pain with vomiting blood. I need emergency help I hope it's nothing serious.,Emergency
low_condition,It started when slight bruise from bumping into furniture Any suggestions?,Low
emergency_condition,I'm experiencing i'm experiencing crushing chest pain with numbness in my jaw and left arm suddenly.,Emergency
low_condition,"Gradually, small cut on my finger from cooking. Cleaned it up.",Low
medium_condition,"Recently, headache that comes and goes when I wake up. Over-the-counter meds help a little.",Medium
high_condition,"I'm dealing with feeling very depressed and hopeless, need to talk to someone urgently.",High
low_condition,"This morning, chapped lips from the cold weather What does this mean?",Low
medium_condition,I've been having i've had a cough that won't go away constantly. It's getting annoying I'm not sure what to do.,Medium
low_condition,I'm suffering from hangnail that's slightly annoying Is this serious?,Low
medium_condition,"This morning, back pain from sitting at my desk, it's mildly to moderately uncomfortable.",Medium
medium_condition,I've noticed that burning sensation when urinating for several hours. Need to go frequently.,Medium
emergency_condition,I noticed sudden unbearably headache like a thunderclap with vision changes.,Emergency
emergency_condition,"This morning, deep cut that won't stop bleeding, I'm feeling dizzy from blood loss Is this serious?",Emergency
emergency_condition,I've developed my throat is closing up and I'm covered in hives. Can't breathe properly I'm looking for guidance.,Emergency
medium_condition,"Knee pain when I walk, especially going up stairs since this morning Please help.",Medium
low_condition,"Today, dry skin patch on my elbow that's a bit itchy",Low
medium_condition,Hoarse voice that's been going on especially at night I'm not sure what to do.,Medium
medium_condition,I'm experiencing shoulder pain that makes it hard to raise my arm above my head Should I be worried?,Medium
emergency_condition,"I've noticed that chest trauma from an accident, I can hear air escaping when I breathe Any suggestions?",Emergency
high_condition,"Gradually, severe dehydration - very dizzy, haven't urinated in hours It's really bothering me.",High
emergency_condition,unbearably abdominal pain with vomiting blood. I need emergency help Is this serious?,Emergency
low_condition,"I can't shake my chronic condition is stable, just monitoring Any suggestions?",Low
low_condition,I woke up with minor scrape on my knee from a fall. Already stopped bleeding I'm looking for guidance.,Low
high_condition,"Gradually, severe anxiety attack that won't stop, heart racing for hours Any suggestions?",High
low_condition,"Ever since yesterday, regular check on my blood pressure medication I need advice.",Low
medium_condition,"I'm experiencing shortness of breath when climbing stairs, gets better when I rest.",Medium
